State,District,Year,Wheat,,
,,,Rabi,,
,,,Area (Hectare),Production (Tonnes),Yield (Tonne/Hectare)
1. Madhya Pradesh,1. Agar malwa,2016 - 2017,"50,000.00","1,81,000.00",3.62
,,2017 - 2018,"46,000.00","1,84,000.00",4
,,2018 - 2019,"74,218.00","1,55,914.00",2.1
,,2019 - 2020,"1,26,577.00","5,69,597.00",4.5
,,2020 - 2021,"1,04,738.00","2,33,252.00",2.23
,,2021 - 2022,"1,27,140.00","3,22,936.00",2.54
,,2022 - 2023,"1,24,362.00","3,28,316.00",2.64
,2. Alirajpur,2016 - 2017,"22,000.00","60,000.00",2.73
,,2017 - 2018,"26,000.00","61,280.00",2.36
,,2018 - 2019,"21,868.00","50,437.00",2.31
,,2019 - 2020,"36,888.00","84,879.00",2.3
,,2020 - 2021,"41,323.00","1,13,184.00",2.74
,,2021 - 2022,"37,799.00","1,07,954.00",2.86
,,2022 - 2023,"32,899.00","93,960.00",2.86
,3. Anuppur,2016 - 2017,"27,000.00","53,000.00",1.96
,,2017 - 2018,"16,680.00","60,780.00",3.64
,,2018 - 2019,"13,728.00","24,249.00",1.77
,,2019 - 2020,"20,470.00","33,100.00",1.62
,,2020 - 2021,"18,607.00","29,325.00",1.58
,,2021 - 2022,"18,237.00","39,301.00",2.16
,,2022 - 2023,"17,496.00","39,453.00",2.25
,4. Ashoknagar,2016 - 2017,"1,59,000.00","3,93,000.00",2.47
,,2017 - 2018,"1,43,410.00","4,69,240.00",3.27
,,2018 - 2019,"1,73,890.00","5,83,633.00",3.36
,,2019 - 2020,"2,11,876.00","8,12,544.00",3.83
,,2020 - 2021,"1,97,456.00","6,67,401.00",3.38
,,2021 - 2022,"1,73,252.00","6,14,698.00",3.55
,,2022 - 2023,"1,19,624.00","4,24,426.00",3.55
,5. Balaghat,2016 - 2017,"35,000.00","64,000.00",1.83
,,2017 - 2018,"55,560.00","1,38,120.00",2.49
,,2018 - 2019,"39,692.00","52,509.00",1.32
,,2019 - 2020,"76,811.00","1,26,585.00",1.65
,,2020 - 2021,"71,381.00","1,93,514.00",2.71
,,2021 - 2022,"44,403.00","91,115.00",2.05
,,2022 - 2023,"50,476.00","1,08,624.00",2.15
,6. Barwani,2016 - 2017,"43,000.00","1,54,000.00",3.58
,,2017 - 2018,"48,000.00","1,70,400.00",3.55
,,2018 - 2019,"1,01,968.00","3,84,821.00",3.77
,,2019 - 2020,"1,13,489.00","4,66,667.00",4.11
,,2020 - 2021,"1,26,869.00","5,32,215.00",4.19
,,2021 - 2022,"1,26,959.00","4,88,538.00",3.85
,,2022 - 2023,"1,10,752.00","4,26,174.00",3.85
,7. Betul,2016 - 2017,"1,28,000.00","3,39,000.00",2.65
,,2017 - 2018,"1,04,400.00","2,77,910.00",2.66
,,2018 - 2019,"1,44,914.00","4,71,037.00",3.25
,,2019 - 2020,"2,64,808.00","6,93,267.00",2.62
,,2020 - 2021,"2,74,631.00","9,02,712.00",3.29
,,2021 - 2022,"2,69,435.00","7,70,584.00",2.86
,,2022 - 2023,"2,81,813.00","8,07,394.00",2.86
,8. Bhind,2016 - 2017,"1,45,000.00","5,82,000.00",4.01
,,2017 - 2018,"1,10,400.00","4,66,110.00",4.22
,,2018 - 2019,"98,256.00","4,14,198.00",4.22
,,2019 - 2020,"1,15,475.00","4,11,091.00",3.56
,,2020 - 2021,"1,19,549.00","4,75,685.00",3.98
,,2021 - 2022,"77,890.00","3,77,377.00",4.84
,,2022 - 2023,"96,666.00","4,39,347.00",4.55
,9. Bhopal,2016 - 2017,"87,000.00","3,01,000.00",3.46
,,2017 - 2018,"81,000.00","2,36,520.00",2.92
,,2018 - 2019,"51,175.00","1,75,571.00",3.43
,,2019 - 2020,"1,41,761.00","4,27,835.00",3.02
,,2020 - 2021,"1,45,628.00","5,00,087.00",3.43
,,2021 - 2022,"1,45,334.00","4,95,153.00",3.41
,,2022 - 2023,"1,47,167.00","5,01,398.00",3.41
,10. Burhanpur,2016 - 2017,"10,000.00","30,000.00",3
,,2017 - 2018,"21,000.00","73,500.00",3.5
,,2018 - 2019,"14,167.00","41,998.00",2.96
,,2019 - 2020,"17,743.00","63,857.00",3.6
,,2020 - 2021,"19,744.00","1,08,454.00",5.49
,,2021 - 2022,"14,766.00","75,750.00",5.13
